R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
7253-2,BICE INMOBILIARIO III FONDO DE INVERSION,No Rescatable,96514410-2,3/8/2012,25/10/2013
9721-7,BICE INMOBILIARIO IV FONDO DE INVERSION,No Rescatable,96514410-2,27/02/2019,2/4/2019
9529-K,BICE MONARCH IV FONDO DE INVERSION,No Rescatable,96514410-2,17/10/2017,11/12/2017
9615-6,BICE RENTAS INMOBILIARIAS FONDO DE INVERSIÓN,No Rescatable,96514410-2,18/05/2018,3/1/2019
9572-9,BICE STEPSTONE IV FONDO DE INVERSION,No Rescatable,96514410-2,13/01/2018,6/8/2018
9722-5,BICE STEPSTONE SCLE I FONDO DE INVERSION,No Rescatable,96514410-2,27/02/2019,
9747-0,BICE STEPSTONE SSOF IV FONDO DE INVERSIÓN,No Rescatable,96514410-2,10/5/2019,
9667-9,BTG PACTUAL - ADLS FONDO DE INVERSIÓN,No Rescatable,96966250-7,12/10/2018,9/1/2019
9076-K,BTG PACTUAL CRÉDITO Y FACTURAS FONDO DE INVERSIÓN,No Rescatable,96966250-7,1/9/2014,1/9/2014
7254-0,BTG PACTUAL DESARROLLO INMOBILIARIO I FONDO DE INVERSION,No Rescatable,96966250-7,24/08/2012,28/09/2012
7259-1,BTG PACTUAL DESARROLLO INMOBILIARIO II FONDO DE INVERSION,No Rescatable,96966250-7,31/10/2012,24/12/2013
9640-7,BTG PACTUAL DESARROLLO INMOBILIARIO III FONDO DE INVERSIÓN,No Rescatable,96966250-7,1/8/2018,27/08/2018
9571-0,BTG PACTUAL DEUDA PRIVADA FONDO DE INVERSION,No Rescatable,96966250-7,13/01/2018,8/2/2018
9501-K,BTG PACTUAL FINANCIAMIENTO CON GARANTÍAS INMOBILIARIAS FONDO DE INVERSIÓN,No Rescatable,96966250-7,16/08/2017,27/09/2017
7039-4,BTG PACTUAL GLOBAL OPTIMIZATION FONDO DE INVERSION,No Rescatable,96966250-7,23/04/1997,28/04/1997
7008-4,BTG PACTUAL INFRAESTRUCTURA FONDO DE INVERSIÓN,No Rescatable,96966250-7,5/6/1992,21/07/1992
