,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
275,07/03/2015,07/03/2015,FONDO DEL INVERSIÓN CREDICORP CAPITAL TIERRAS DEL SUR,9157-K,99549940-1,No Rescatable
276,16/11/2016,10/11/2016,FONDO INVERSION RETORNO PREFERENTE FUNDAMENTA PLAZA EGANA,9396-3,76543031-3,No Rescatable
277,23/04/2019,23/01/2019,FRONTAL TRUST DEUDA PRIVADA MIXTA FONDO DE INVERSIÓN,9711-K,76543031-3,No Rescatable
278,11/10/2017,09/09/2017,FRONTAL TRUST FUNDAMENTA DESARROLLO INMOBILIARIO XIII FONDO DE INVERSIÓN,9513-3,76543031-3,No Rescatable
279,04/02/2019,06/10/2018,FRONTAL TRUST INFRAESTRUCTURA ALPHA FONDO DE INVERSIÓN,9664-4,76543031-3,No Rescatable
280,18/10/2017,14/09/2017,FRONTAL TRUST REAL ESTATE USA I FONDO DE INVERSIÓN,9515-K,76543031-3,No Rescatable
281,18/10/2017,14/09/2017,FRONTAL TRUST REAL ESTATE USA II FONDO DE INVERSIÓN,9516-8,76543031-3,No Rescatable
282,22/12/2016,09/12/2016,FRONTAL TRUST SURMONTE II FONDO DE INVERSIÓN,9406-4,76543031-3,No Rescatable
283,20/07/2011,06/08/2010,LINZOR BICE PRIVATE EQUITY II FONDO DE INVERSION,7193-5,96514410-2,No Rescatable
284,08/11/2017,25/10/2017,MBI DEUDA PRIVADA FONDO DE INVERSIÓN,9530-3,99543100-9,No Rescatable
285,05/01/2015,06/01/2015,MBI-BP DEUDA FONDO DE INVERSION,9120-0,99543100-9,No Rescatable
286,13/08/2015,14/05/2015,MONEDA - CARLYLE III FONDO DE INVERSIÓN,9186-3,96684990-8,No Rescatable
287,03/01/2017,07/07/2016,MONEDA - CARLYLE V FONDO DE INVERSIÓN,9343-2,96684990-8,No Rescatable
288,19/12/2018,06/10/2017,MONEDA CARLYLE VIII FONDO DE INVERSION,9526-5,96684990-8,No Rescatable
289,13/09/2018,24/05/2018,MONEDA CARLYLE XI FONDO DE INVERSION,9617-2,96684990-8,No Rescatable
290,20/12/2016,25/06/2016,MONEDA CARLYLE-ALPINVEST II FONDO DE INVERSION,9340-8,96684990-8,No Rescatable
291,25/11/1999,23/11/1999,MONEDA DEUDA LATINOAMERICANA FONDO DE INVERSION,7055-6,96684990-8,No Rescatable
292,28/08/2009,28/02/2008,MONEDA LATINOAMERICA DEUDA LOCAL FONDO DE INVERSION,7147-1,96684990-8,No Rescatable
293,23/12/2014,13/12/2014,MONEDA PATAGONIA FONDO DE INVERSIÓN,9105-7,96684990-8,No Rescatable
294,25/05/2006,03/06/2005,MONEDA RENTA CLP FONDO DE INVERSION,7099-8,96684990-8,No Rescatable
295,27/05/2009,30/11/2007,MONEDA RENTA VARIABLE CHILE FONDO DE INVERSION,7136-6,96684990-8,No Rescatable
296,27/05/2008,22/11/2007,MONEDA SMALL CAP LATINOAMERICA FONDO DE INVERSION,7135-8,96684990-8,No Rescatable
297,25/06/2013,27/12/2011,MONEDA- CARLYLE FONDO DE INVERSION,7235-4,96684990-8,No Rescatable
298,14/02/2019,12/07/2018,MONEDA- CARLYLE X FONDO DE INVERSION,9636-9,96684990-8,No Rescatable
299,15/05/2015,26/12/2014,MONEDA-CARLYLE II FONDO DE INVERSIÓN,9114-6,96684990-8,No Rescatable
300,25/11/2015,14/07/2015,MONEDA-CARLYLE IV FONDO DE INVERSIÓN,9213-4,96684990-8,No Rescatable
301,21/12/2018,18/11/2017,MONEDA-CARLYLE IX FONDO DE INVERSIÓN,9544-3,96684990-8,No Rescatable
302,24/08/2017,09/06/2017,MONEDA-CARLYLE VII FONDO DE INVERSION,9462-5,96684990-8,No Rescatable
303,05/12/2017,16/11/2017,MONEDA-RENTA FIJA ARGENTINA FONDO DE INVERSIÓN,9538-9,96684990-8,No Rescatable
304,12/06/2018,13/06/2018,NEORENTAS NUEVE FONDO DE INVERSION,9620-2,76122579-0,No Rescatable
305,04/08/2015,31/07/2015,NEORENTAS OCHO FONDO DE INVERSION,9220-7,76122579-0,No Rescatable
306,30/04/2015,02/05/2015,NEORENTAS SEIS FONDO DE INVERSION,9179-0,76122579-0,No Rescatable
